bus_no,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
6,RSRTC - 194122,Semi Deluxe Non AC Seater 2+2,21:31,06h 29m,04:00,2.9,411,20
6,RSRTC - 193595,NON AC Seater / Sleeper 2+1,22:01,06h 14m,04:15,1.8,463,9
6,UPSRTC - ALI0024,Ordinary Non AC Seater 2+3,21:00,08h 00m,05:00,3.7,361,51
6,Rinku Travels,A/C Seater / Sleeper (2+1),21:15,08h 45m,06:00,4,400,12
6,Rinku Travels,A/C Seater / Sleeper (2+1),21:30,07h 50m,05:20,3.7,400,7
6,Mahalaxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:55,07h 05m,07:00,2.8,499,13
6,SHAGUN CARGO & TRAVELS,A/C Sleeper (2+1),23:55,07h 05m,07:00,1,647,11
6,SHAGUN CARGO & TRAVELS,NON A/C Seater/ Sleeper (2+1),23:55,05h 50m,05:45,1,555,32
7,RSRTC - 178227,Express Non AC Seater 2+3,19:50,07h 10m,03:00,2.3,369,42
7,RSRTC - 177697,Express Non AC Seater 2+3,20:50,08h 00m,04:50,1.8,369,42
7,RSRTC - 190202,Express Non AC Seater 2+3,21:50,07h 10m,05:00,3.7,369,41
7,RSRTC - 193797,NON AC Seater / Sleeper 2+1,22:01,06h 29m,04:30,3.1,463,26
7,RSRTC - 189082,Super Luxury Volvo AC Seater Pushback 2+2,23:00,05h 30m,04:30,4.3,570,15
7,UPSRTC - BDV0129,Ordinary Non AC Seater 2+3,23:44,07h 41m,07:25,3.3,361,52
7,Rinku Travels,A/C Seater / Sleeper (2+1),21:30,07h 25m,04:55,4.1,400,16
7,Rinku Travels,A/C Seater / Sleeper (2+1),21:15,07h 10m,04:25,3.8,400,29
7,Mahalaxmi Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:00,07h 00m,04:00,3.2,440,20
7,Shree Baba Travels,A/C Seater / Sleeper (2+1),21:00,07h 30m,04:30,3.1,399,27
7,SHAGUN CARGO & TRAVELS,A/C Sleeper (2+1),21:15,05h 45m,03:00,2.7,739,25
7,SHAGUN CARGO & TRAVELS,A/C Sleeper (2+1),22:30,05h 45m,04:15,1,555,21
8,RSRTC - 176394,Super Luxury Volvo AC Seater Pushback 2+2,20:00,02h 30m,22:30,4.1,339,37
8,RSRTC - 189473,NON AC Seater / Sleeper 2+1,21:00,03h 30m,00:30,3.9,235,37
8,RSRTC - 172841,Super Luxury Volvo AC Seater Pushback 2+2,22:01,02h 24m,00:25,5,339,37
8,RSRTC - 192299,Super Luxury Volvo AC Seater Pushback 2+2,23:00,02h 30m,01:30,4,339,37
8,RSRTC - 189583,NON AC Seater / Sleeper 2+1,23:59,02h 41m,02:40,5,235,37
8,M R Travels,NON A/C Seater/ Sleeper (2+1),18:45,03h 45m,22:30,3.5,495,26
8,Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,03h 21m,22:21,4,270,40
8,Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,03h 55m,22:55,4.8,270,40
8,M R Travels,NON A/C Seater/ Sleeper (2+1),20:25,03h 30m,23:55,3.5,459,32
